"cell_type","gene_symbol"
"T_cells","CD3D"
"T_cells","CD3E"
"T_cells","TRAC"
"T_cells","CD2"
"T_cells","IL7R"
"NK_cells","NKG7"
"NK_cells","GNLY"
"NK_cells","KLRD1"
"NK_cells","KLRF1"
"NK_cells","PRF1"
"B_cells","MS4A1"
"B_cells","CD79A"
"B_cells","CD79B"
"B_cells","CD37"
"B_cells","CD22"
"Plasma_cells","MZB1"
"Plasma_cells","JCHAIN"
"Plasma_cells","SDC1"
"Plasma_cells","DERL3"
"Plasma_cells","XBP1"
"Myeloid","LYZ"
"Myeloid","LST1"
"Myeloid","TYROBP"
"Myeloid","FCER1G"
"Myeloid","AIF1"
"Myeloid","C1QA"
"Myeloid","CD68"
"Dendritic","FCER1A"
"Dendritic","CD1C"
"Dendritic","CLEC10A"
"Dendritic","CLEC9A"
"Dendritic","LILRA4"
"Mast_cells","TPSAB1"
"Mast_cells","TPSB2"
"Mast_cells","CPA3"
"Mast_cells","KIT"
"Mast_cells","MS4A2"
"Epithelial","EPCAM"
"Epithelial","KRT8"
"Epithelial","KRT18"
"Epithelial","KRT19"
"Epithelial","KRT20"
"Epithelial","CDH1"
"Fibroblasts","COL1A1"
"Fibroblasts","COL1A2"
"Fibroblasts","COL3A1"
"Fibroblasts","DCN"
"Fibroblasts","LUM"
"Fibroblasts","PDGFRA"
"Endothelial","PECAM1"
"Endothelial","VWF"
"Endothelial","KDR"
"Endothelial","EMCN"
"Endothelial","CLDN5"
"Pericytes","RGS5"
"Pericytes","CSPG4"
"Pericytes","MCAM"
"Pericytes","PDGFRB"
"Pericytes","ACTA2"
