"cluster","n_cells","n_samples","dominant_sample","dominant_sample_fraction","candidate","score_margin","median_mt"
"0",3958,6,"R1",0.324911571500758,"T_cells",1.96390434456036,5.90328472840085
"1",3854,6,"R2",0.358329008822003,"B_cells",2.22845787982214,6.79031314018145
"10",760,6,"L3",0.443421052631579,"B_cells",1.78564954046746,4.5658866213919
"11",574,6,"R3",0.397212543554007,"Mast_cells",3.56529868304544,6.28664386933165
"12",540,6,"L3",0.453703703703704,"Pericytes",2.42011392073877,6.26487631571537
"13",509,6,"L3",0.353634577603143,"Endothelial",3.63131903948658,7.9002808988764
"14",273,6,"L2",0.358974358974359,"Epithelial",2.54963605385674,8.19112627986348
"15",190,6,"L3",0.447368421052632,"Dendritic",0.754593612637668,4.77733387527532
"16",123,6,"L3",0.382113821138211,"Plasma_cells",2.35281685903354,3.77600586564018
"17",53,6,"L3",0.452830188679245,"Dendritic",0.129340201804904,4.18443711273839
"2",3348,6,"R1",0.247311827956989,"NK_cells",2.04653753174775,6.71779709874736
"3",2799,6,"R1",0.268667381207574,"T_cells",2.57189422521104,5.203895313451
"4",2167,6,"R3",0.314720812182741,"Epithelial",2.93969665354984,9.56140350877193
"5",2161,6,"R1",0.212401665895419,"Plasma_cells",2.42050246978863,1.79765886287625
"6",1438,6,"L3",0.336578581363004,"Myeloid",2.21378331526334,4.98563269646151
"7",1113,6,"L3",0.554357592093441,"Myeloid",0.713341336783669,4.5673462835126
"8",1047,6,"R1",0.332378223495702,"Myeloid",1.11386693647312,3.0664395229983
"9",858,6,"L3",0.402097902097902,"Fibroblasts",3.02430715983089,7.21420153176869
