"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","gene_symbol"
2.16563635332246e-49,1.64382888817237,0.868,0.396,7.2968951288847e-45,"2_2","ENSG00000113088","GZMK"
6.61563676022922e-41,2.22163488369302,0.661,0.245,2.22907264999163e-36,"2_2","ENSG00000100450","GZMH"
1.2571432425931e-39,1.6120041406466,0.822,0.409,4.23581844159318e-35,"2_2","ENSG00000276070","CCL4L2"
4.3481878122998e-36,1.75198707557446,0.686,0.269,1.46507840147629e-31,"2_2","ENSG00000196126","HLA-DRB1"
3.8703643136947e-34,0.550736832146748,0.998,0.982,1.30408055185629e-29,"2_2","ENSG00000108107","RPL28"
1.00568939520745e-32,1.75105949075117,0.708,0.32,3.38856984821199e-28,"2_2","ENSG00000231389","HLA-DPA1"
4.42627999066799e-30,1.84540284066952,0.669,0.306,1.49139078005567e-25,"2_2","ENSG00000223865","HLA-DPB1"
1.3275586068986e-29,1.14338155201375,0.907,0.733,4.47307597008414e-25,"2_2","ENSG00000105374","NKG7"
2.86982124268087e-29,1.27584025412297,0.779,0.507,9.66957569508891e-25,"2_2","ENSG00000103187","COTL1"
1.87927745606208e-23,0.366697323647764,0.909,0.692,6.33203746045559e-19,"2_2","ENSG00000145649","GZMA"
6.85172844863234e-23,0.556314998834181,0.99,0.956,2.30862138348218e-18,"2_2","ENSG00000034510","TMSB10"
6.10181677780803e-22,1.95064408832085,0.414,0.13,2.05594614511464e-17,"2_2","ENSG00000139193","CD27"
2.73130722288372e-21,0.295674053683991,0.998,0.999,9.20286655678441e-17,"2_2","ENSG00000166710","B2M"
3.87067654721001e-21,0.960759931322307,0.789,0.569,1.30418575581694e-16,"2_2","ENSG00000133321","RARRES3"
2.20280848319931e-20,1.10193160555839,0.763,0.513,7.42214290329174e-16,"2_2","ENSG00000019582","CD74"
3.1417986876499e-20,0.670615229555658,0.982,0.91,1.05859764981676e-15,"2_2","ENSG00000271503","CCL5"
8.46611946130349e-20,1.12973102186158,0.523,0.226,2.8525742912916e-15,"2_2","ENSG00000276085","CCL3L3"
1.93006428551884e-19,0.932136270708551,0.874,0.61,6.50315860362717e-15,"2_2","ENSG00000077984","CST7"
9.54867087940642e-19,0.516382869815485,0.966,0.911,3.2173291661072e-14,"2_2","ENSG00000198242","RPL23A"
2.12304608117934e-18,0.485423379558495,0.976,0.95,7.15339146592567e-14,"2_2","ENSG00000204525","HLA-C"
4.36050745473924e-18,1.51427192228788,0.54,0.302,1.46922938179984e-13,"2_2","ENSG00000135916","ITM2C"
7.26034802909242e-18,0.380330303514974,1,0.98,2.4463016649224e-13,"2_2","ENSG00000134419","RPS15A"
1.06445722538614e-17,1.23973603485091,0.515,0.269,3.58658217521607e-13,"2_2","ENSG00000133574","GIMAP4"
1.4312590851759e-17,1.77635608551926,0.503,0.213,4.82248436159169e-13,"2_2","ENSG00000204287","HLA-DRA"
3.18755274116574e-17,1.29091267343052,0.582,0.316,1.07401402060839e-12,"2_2","ENSG00000239713","APOBEC3G"
6.91780485047795e-17,1.30091387665995,0.55,0.298,2.33088516632004e-12,"2_2","ENSG00000172116","CD8B"
1.30383114693681e-16,1.1017274066713,0.7,0.466,4.3931286664889e-12,"2_2","ENSG00000240065","PSMB9"
2.48749405592854e-16,0.648353364072253,0.929,0.842,8.38136247204564e-12,"2_2","ENSG00000142669","SH3BGRL3"
2.69928800911111e-16,1.12928329626145,0.606,0.342,9.09498101789899e-12,"2_2","ENSG00000222041","LINC00152"
3.33359513743934e-16,1.81657844313939,0.29,0.088,1.12322154560881e-11,"2_2","ENSG00000186810","CXCR3"
5.17633417755961e-16,1.61682827345608,0.505,0.218,1.74411403778694e-11,"2_2","ENSG00000111537","IFNG"
1.50785910339369e-15,0.406911166802788,0.974,0.957,5.08058046297470e-11,"2_2","ENSG00000206503","HLA-A"
3.64331511984798e-15,0.333783014571854,0.994,0.961,1.22757859648158e-10,"2_2","ENSG00000115268","RPS15"
6.51045831377564e-15,0.979592533952183,0.42,0.215,2.19363382424356e-10,"2_2","ENSG00000160255","ITGB2"
1.71802809046711e-14,1.76719343009281,0.262,0.08,5.78872384801987e-10,"2_2","ENSG00000204257","HLA-DMA"
3.8359419334172e-14,2.05809170972136,0.28,0.063,1.29248227504559e-09,"2_2","ENSG00000237541","HLA-DQA2"
6.88752425756481e-14,1.2416155367456,0.458,0.218,2.32068242334389e-09,"2_2","ENSG00000164687","FABP5"
1.38192556280936e-13,2.56731822300643,0.187,0.039,4.65625999132984e-09,"2_2","ENSG00000064886","CHI3L2"
3.23061761524421e-13,0.526163459286483,0.905,0.737,1.08852429928038e-08,"2_2","ENSG00000167286","CD3D"
3.48321547368726e-13,0.58403379596492,0.876,0.757,1.17363462170419e-08,"2_2","ENSG00000051523","CYBA"
1.36612331988953e-12,1.74612830711112,0.292,0.105,4.60301591403577e-08,"2_2","ENSG00000172965","MIR4435-2HG"
2.09368525650247e-12,1.78344912260303,0.256,0.086,7.05446310325942e-08,"2_2","ENSG00000274767","AC131056.3"
2.20548126130219e-12,0.676359773193782,0.813,0.643,7.43114856183159e-08,"2_2","ENSG00000277734","TRAC"
