"gene_symbol","g10-0","g10-1","g10-2","g10-3","g10-4"
"CD3D",11.3673356865255,0.010470806983904,0,0.713488846151038,0.0231354192555401
"CD3E",3.89750764691552,0.00707178060410839,0.0340898835078355,0.40092410604113,0.0156762417151063
"TRAC",8.65590433721333,0.914135551354228,0.610710046305641,0.869132072988623,0.0608621587037462
"CD8A",1.19192826864143,0.00154072545674421,0,0,0
"CD8B",0.668979443556654,0,0,0,0.00896153708284045
"NKG7",7.27006790221285,0.0258293295464918,0.00774041736330423,0.608880138844799,0.651489803461815
"GNLY",10.712875443726,0.00316222672981019,0.0452649823829883,0.502018080306214,0.00371262224736905
"KLRD1",1.08137576138354,0,0,0.0391866420574555,0
"KLRF1",0.0828618429535912,0.0114535150207209,0,0,0
"MS4A1",0.0216629614458396,8.3831487963264,16.4363303948037,4.87930201464817,0.0834391299382381
"CD79A",0.142773417902012,11.2517393522445,18.7914082149834,4.16570300078636,0.116668522412063
"CD79B",0.372505233097258,7.37872153168708,10.7479645433893,4.29970835204095,0.0223518237688784
"CD37",1.79627643772603,6.98308102241113,18.2993284260357,6.64549960763679,0.850329011475249
"MZB1",0.156809013007624,2.12282565308533,1.11569487095566,0.806372276586277,0
"JCHAIN",0.528701238116431,3.73952034686434,5.301390044265,4.28465808678438,2.13712612450449
"MKI67",2.54394071623911,2.27448873942646,0.13036165056378,0.779681959185952,2.833382205615
"TOP2A",2.91288654634972,2.87819977138474,0.170672983251824,2.67906258646802,5.10153941827068
"FOXP3",0.683312407154828,0,0,0,0
