"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","gene_id","gene_symbol"
1.3840887315809e-32,5.41246849959238,0.323,0.009,4.6635485721887e-28,"3","ENSG00000049768","ENSG00000049768","FOXP3"
2.08422376937612e-59,4.64022972346968,0.578,0.075,7.0225835685359e-55,"3","ENSG00000186827","ENSG00000186827","TNFRSF4"
8.89328893661156e-36,4.37742551397994,0.374,0.029,2.9965047743019e-31,"3","ENSG00000167618","ENSG00000167618","LAIR2"
1.27667327485407e-15,4.17569649083195,0.23,0.027,4.3016229322933e-11,"3","ENSG00000182010","ENSG00000182010","RTKN2"
5.8752378073392e-26,4.01455266411728,0.314,0.038,1.97960262680487e-21,"3","ENSG00000134460","ENSG00000134460","IL2RA"
9.78034437615728e-25,3.95129478043491,0.282,0.037,3.29538923410243e-20,"3","ENSG00000280721","ENSG00000280721","AC133644.2"
2.8261719322758e-56,3.82412283718351,0.621,0.102,9.52250370861009e-52,"3","ENSG00000156127","ENSG00000156127","BATF"
2.91335888849197e-45,3.80648128140414,0.574,0.1,9.81627143888485e-41,"3","ENSG00000186891","ENSG00000186891","TNFRSF18"
1.21117184850948e-48,3.71857639800123,0.5,0.049,4.08092242636784e-44,"3","ENSG00000163599","ENSG00000163599","CTLA4"
2.53163682203445e-08,3.48508726460085,0.224,0.066,0.000853009710816287,"3","ENSG00000187601","ENSG00000187601","MAGEH1"
4.59125571913844e-35,3.02314976119706,0.484,0.082,1.54697770200651e-30,"3","ENSG00000181847","ENSG00000181847","TIGIT"
6.11552043863747e-49,3.02304719811569,0.551,0.085,2.06056345659451e-44,"3","ENSG00000163600","ENSG00000163600","ICOS"
1.63981056316137e-39,7.30616042668516,0.379,0.003,5.52517771151593e-35,"5","ENSG00000211673","ENSG00000211673","IGLV3-1"
2.39469170324649e-35,7.10807411351286,0.351,0.02,8.06867422491874e-31,"5","ENSG00000254709","ENSG00000254709","IGLL5"
2.02780411960846e-130,7.08556050594889,0.994,0.329,6.83248320060875e-126,"5","ENSG00000132465","ENSG00000132465","JCHAIN"
2.1785565065119e-17,6.97335377090153,0.64,0.287,7.34042829304119e-13,"5","ENSG00000211679","ENSG00000211679","IGLC3"
1.66175409311024e-71,6.88312122495219,0.983,0.67,5.59911424132564e-67,"5","ENSG00000211895","ENSG00000211895","IGHA1"
8.63413865748156e-52,6.74275916274955,0.984,0.843,2.90918667925184e-47,"5","ENSG00000211592","ENSG00000211592","IGKC"
8.92527252674916e-21,6.58836280795583,0.326,0.075,3.00728132516286e-16,"5","ENSG00000211893","ENSG00000211893","IGHG2"
7.35655787218508e-13,6.58793536519436,0.852,0.555,2.47871860945404e-08,"5","ENSG00000211677","ENSG00000211677","IGLC2"
2.2778813432711e-65,6.54977354332241,0.788,0.249,7.67509339801764e-61,"5","ENSG00000211890","ENSG00000211890","IGHA2"
6.18585487623693e-23,6.22050852734416,0.239,0.005,2.08426194199927e-18,"5","ENSG00000243290","ENSG00000243290","IGKV1-12"
2.11792891733509e-20,6.2067372340437,0.208,0.007,7.13614969406884e-16,"5","ENSG00000211598","ENSG00000211598","IGKV4-1"
6.69487962292155e-15,6.14584784848223,0.514,0.217,2.25577274014719e-10,"5","ENSG00000211896","ENSG00000211896","IGHG1"
4.16481105444886e-27,7.7743342195161,0.221,0.003,1.403291436686e-22,"2","ENSG00000143185","ENSG00000143185","XCL2"
5.4674484701437e-31,7.22589348189877,0.306,0.006,1.84220208753022e-26,"2","ENSG00000100450","ENSG00000100450","GZMH"
4.70886912710336e-42,6.5607297152149,0.411,0.01,1.58660636368621e-37,"2","ENSG00000134539","ENSG00000134539","KLRD1"
3.62668099015505e-21,6.07970442608306,0.239,0.019,1.22197389282284e-16,"2","ENSG00000115523","ENSG00000115523","GNLY"
8.0852497007772e-85,6.03954125526539,0.759,0.043,2.72424403417987e-80,"2","ENSG00000105374","ENSG00000105374","NKG7"
1.05042238587037e-47,5.62271506401355,0.466,0.02,3.53929318695162e-43,"2","ENSG00000113088","ENSG00000113088","GZMK"
2.14445127326952e-23,5.55829326668401,0.26,0.011,7.22551412015431e-19,"2","ENSG00000111537","ENSG00000111537","IFNG"
2.38658643868983e-40,5.50645524749866,0.371,0.017,8.04136434652152e-36,"2","ENSG00000180644","ENSG00000180644","PRF1"
3.29561500364e-48,5.48918233640655,0.447,0.015,1.11042451932646e-43,"2","ENSG00000153563","ENSG00000153563","CD8A"
2.54530745191123e-32,5.44349808771534,0.335,0.012,8.57615892846971e-28,"2","ENSG00000172116","ENSG00000172116","CD8B"
8.38870944523434e-73,5.41505845967299,0.724,0.038,2.82649176047726e-68,"2","ENSG00000145649","ENSG00000145649","GZMA"
5.48709928753902e-118,5.26712652836553,0.921,0.092,1.8488232339434e-113,"2","ENSG00000271503","ENSG00000271503","CCL5"
3.38649153905032e-63,7.1907122277995,0.549,0.008,1.14104445916762e-58,"7","ENSG00000186407","ENSG00000186407","CD300E"
6.11722973948244e-73,6.89310261707793,0.627,0.034,2.06113938842121e-68,"7","ENSG00000124882","ENSG00000124882","EREG"
1.10293012353408e-43,6.78585308264974,0.417,0.004,3.71621275823572e-39,"7","ENSG00000085265","ENSG00000085265","FCN1"
1.20015638014771e-25,5.14815374833117,0.265,0.01,4.04380690726969e-21,"7","ENSG00000258227","ENSG00000258227","CLEC5A"
1.62062444117441e-32,5.12710820322078,0.349,0.011,5.46053199209306e-28,"7","ENSG00000139572","ENSG00000139572","GPR84"
6.11957364046755e-97,5.03586815511952,0.855,0.08,2.06192914241914e-92,"7","ENSG00000125538","ENSG00000125538","IL1B"
