"cell_type","mean_left","mean_right","difference_right_minus_left","p_value","scenario","FDR"
"B_cells",0.157581254469276,0.188971025716495,0.0313897712472198,1,"mt25_primary",1
"Dendritic",0.00990330105460911,0.00683391355535542,-0.00306938749925369,0.6,"mt25_primary",0.945454545454546
"Endothelial",0.0186838583569426,0.0193232492164683,0.00063939085952577,0.8,"mt25_primary",0.945454545454546
"Epithelial",0.121136005909125,0.0932336973955258,-0.0279023085135989,0.8,"mt25_primary",0.945454545454546
"Fibroblasts",0.0387103840647613,0.0250469585391618,-0.0136634255255995,0.4,"mt25_primary",0.945454545454546
"Macrophages",0.0601223627952385,0.0527642777930353,-0.00735808500220327,0.9,"mt25_primary",0.975
"Mast_cells",0.0124703295717831,0.0312993921608723,0.0188290625890892,0.2,"mt25_primary",0.945454545454546
"Monocytes",0.0540359493735722,0.0227140090709147,-0.0313219403026575,0.5,"mt25_primary",0.945454545454546
"NK_cells",0.0161245918154713,0.00700623762720639,-0.00911835418826488,0.2,"mt25_primary",0.945454545454546
"Neutrophils",0.0522499632565935,0.0331035542234866,-0.0191464090331069,0.6,"mt25_primary",0.945454545454546
"Pericytes",0.0221155657550544,0.017389337148473,-0.00472622860658139,0.7,"mt25_primary",0.945454545454546
"Plasma_cells",0.0876138231498156,0.0947391912482688,0.00712536809845327,0.8,"mt25_primary",0.945454545454546
"T_cells",0.349252610427758,0.407575156304736,0.058322545876978,0.6,"mt25_primary",0.945454545454546
"B_cells",0.162601364867238,0.193355876360343,0.0307545114931043,1,"mt20_sensitivity",1
"Dendritic",0.00990123034989799,0.00661318650203841,-0.00328804384785958,0.5,"mt20_sensitivity",0.975
"Endothelial",0.0172288338487407,0.0183995152065681,0.00117068135782745,0.8,"mt20_sensitivity",1
"Epithelial",0.105440536409011,0.0837760782201104,-0.0216644581889007,1,"mt20_sensitivity",1
"Fibroblasts",0.0372028335493264,0.0232338654305528,-0.0139689681187737,0.5,"mt20_sensitivity",0.975
"Macrophages",0.0601817656822961,0.052800864842413,-0.00738090083988313,0.9,"mt20_sensitivity",1
"Mast_cells",0.0127759882695088,0.032013848702942,0.0192378604334331,0.2,"mt20_sensitivity",0.975
"Monocytes",0.0552597370254456,0.0226601488388677,-0.032599588186578,0.4,"mt20_sensitivity",0.975
"NK_cells",0.0168205023284205,0.00715719786204907,-0.00966330446637147,0.2,"mt20_sensitivity",0.975
"Neutrophils",0.0533334245346004,0.033679052351642,-0.0196543721829583,0.6,"mt20_sensitivity",0.975
"Pericytes",0.0215027593500609,0.0170083356865511,-0.00449442366350981,0.6,"mt20_sensitivity",0.975
"Plasma_cells",0.090619042808115,0.0973490699210303,0.00673002711291533,1,"mt20_sensitivity",1
"T_cells",0.357131980977338,0.411952960074892,0.0548209790975545,0.6,"mt20_sensitivity",0.975
