"sample_id","cell_type","n_cells","proportion","side","scenario"
"L1","B_cells",689,0.179193758127438,"left-sided","mt25_primary"
"L2","B_cells",462,0.154411764705882,"left-sided","mt25_primary"
"L3","B_cells",775,0.139138240574506,"left-sided","mt25_primary"
"R1","B_cells",645,0.116636528028933,"right-sided","mt25_primary"
"R2","B_cells",1419,0.372050340849502,"right-sided","mt25_primary"
"R3","B_cells",314,0.0782262082710513,"right-sided","mt25_primary"
"L1","Dendritic",21,0.00546163849154746,"left-sided","mt25_primary"
"L2","Dendritic",14,0.00467914438502674,"left-sided","mt25_primary"
"L3","Dendritic",109,0.0195691202872531,"left-sided","mt25_primary"
"R1","Dendritic",64,0.0115732368896926,"right-sided","mt25_primary"
"R2","Dendritic",16,0.00419507079181961,"right-sided","mt25_primary"
"R3","Dendritic",19,0.00473343298455406,"right-sided","mt25_primary"
"L1","Endothelial",45,0.011703511053316,"left-sided","mt25_primary"
"L2","Endothelial",36,0.0120320855614973,"left-sided","mt25_primary"
"L3","Endothelial",180,0.0323159784560144,"left-sided","mt25_primary"
"R1","Endothelial",70,0.0126582278481013,"right-sided","mt25_primary"
"R2","Endothelial",74,0.0194022024121657,"right-sided","mt25_primary"
"R3","Endothelial",104,0.025909317389138,"right-sided","mt25_primary"
"L1","Epithelial",491,0.127698309492848,"left-sided","mt25_primary"
"L2","Epithelial",615,0.205548128342246,"left-sided","mt25_primary"
"L3","Epithelial",168,0.0301615798922801,"left-sided","mt25_primary"
"R1","Epithelial",199,0.0359855334538879,"right-sided","mt25_primary"
"R2","Epithelial",215,0.056371263765076,"right-sided","mt25_primary"
"R3","Epithelial",752,0.187344294967613,"right-sided","mt25_primary"
"L1","Fibroblasts",85,0.0221066319895969,"left-sided","mt25_primary"
"L2","Fibroblasts",96,0.0320855614973262,"left-sided","mt25_primary"
"L3","Fibroblasts",345,0.0619389587073609,"left-sided","mt25_primary"
"R1","Fibroblasts",116,0.0209764918625678,"right-sided","mt25_primary"
"R2","Fibroblasts",27,0.00707918196119559,"right-sided","mt25_primary"
"R3","Fibroblasts",189,0.047085201793722,"right-sided","mt25_primary"
"L1","Macrophages",149,0.0387516254876463,"left-sided","mt25_primary"
"L2","Macrophages",146,0.0487967914438503,"left-sided","mt25_primary"
"L3","Macrophages",517,0.092818671454219,"left-sided","mt25_primary"
"R1","Macrophages",356,0.064376130198915,"right-sided","mt25_primary"
"R2","Macrophages",95,0.0249082328264289,"right-sided","mt25_primary"
"R3","Macrophages",277,0.0690084703537618,"right-sided","mt25_primary"
"L1","Mast_cells",40,0.0104031209362809,"left-sided","mt25_primary"
"L2","Mast_cells",33,0.0110294117647059,"left-sided","mt25_primary"
"L3","Mast_cells",89,0.0159784560143627,"left-sided","mt25_primary"
"R1","Mast_cells",137,0.0247739602169982,"right-sided","mt25_primary"
"R2","Mast_cells",47,0.0123230204509701,"right-sided","mt25_primary"
"R3","Mast_cells",228,0.0568011958146487,"right-sided","mt25_primary"
"L1","Monocytes",110,0.0286085825747724,"left-sided","mt25_primary"
"L2","Monocytes",68,0.0227272727272727,"left-sided","mt25_primary"
"L3","Monocytes",617,0.110771992818671,"left-sided","mt25_primary"
"R1","Monocytes",172,0.0311030741410488,"right-sided","mt25_primary"
"R2","Monocytes",51,0.013371788148925,"right-sided","mt25_primary"
"R3","Monocytes",95,0.0236671649227703,"right-sided","mt25_primary"
"L1","NK_cells",58,0.0150845253576073,"left-sided","mt25_primary"
"L2","NK_cells",62,0.0207219251336898,"left-sided","mt25_primary"
"L3","NK_cells",70,0.0125673249551167,"left-sided","mt25_primary"
"R1","NK_cells",23,0.00415913200723327,"right-sided","mt25_primary"
"R2","NK_cells",51,0.013371788148925,"right-sided","mt25_primary"
"R3","NK_cells",14,0.00348779272546089,"right-sided","mt25_primary"
"L1","Neutrophils",203,0.0527958387516255,"left-sided","mt25_primary"
"L2","Neutrophils",260,0.0868983957219251,"left-sided","mt25_primary"
"L3","Neutrophils",95,0.0170556552962298,"left-sided","mt25_primary"
"R1","Neutrophils",348,0.0629294755877034,"right-sided","mt25_primary"
"R2","Neutrophils",96,0.0251704247509177,"right-sided","mt25_primary"
"R3","Neutrophils",45,0.0112107623318386,"right-sided","mt25_primary"
"L1","Pericytes",41,0.0106631989596879,"left-sided","mt25_primary"
"L2","Pericytes",35,0.0116978609625668,"left-sided","mt25_primary"
"L3","Pericytes",245,0.0439856373429084,"left-sided","mt25_primary"
"R1","Pericytes",44,0.00795660036166365,"right-sided","mt25_primary"
"R2","Pericytes",47,0.0123230204509701,"right-sided","mt25_primary"
"R3","Pericytes",128,0.0318883906327853,"right-sided","mt25_primary"
"L1","Plasma_cells",479,0.124577373211964,"left-sided","mt25_primary"
"L2","Plasma_cells",252,0.0842245989304813,"left-sided","mt25_primary"
"L3","Plasma_cells",301,0.0540394973070018,"left-sided","mt25_primary"
"R1","Plasma_cells",468,0.084629294755877,"right-sided","mt25_primary"
"R2","Plasma_cells",327,0.0857367593078133,"right-sided","mt25_primary"
"R3","Plasma_cells",457,0.113851519681116,"right-sided","mt25_primary"
"L1","T_cells",1434,0.37295188556567,"left-sided","mt25_primary"
"L2","T_cells",913,0.305147058823529,"left-sided","mt25_primary"
"L3","T_cells",2059,0.369658886894075,"left-sided","mt25_primary"
"R1","T_cells",2888,0.522242314647378,"right-sided","mt25_primary"
"R2","T_cells",1349,0.353696906135291,"right-sided","mt25_primary"
"R3","T_cells",1392,0.34678624813154,"right-sided","mt25_primary"
