"scenario","cell_type","min_cells_per_patient","status","n_tested","n_significant"
"primary_mt25","B_cells",314,"OK",9856,0
"primary_mt25","Dendritic",14,"SKIPPED_less_than_30_cells_in_at_least_one_patient",NA,NA
"primary_mt25","Endothelial",36,"OK",5789,4
"primary_mt25","Epithelial",168,"OK",12074,0
"primary_mt25","Fibroblasts",27,"SKIPPED_less_than_30_cells_in_at_least_one_patient",NA,NA
"primary_mt25","Macrophages",95,"OK",8627,0
"primary_mt25","Mast_cells",33,"OK",2897,1
"primary_mt25","Monocytes",51,"OK",5371,0
"primary_mt25","NK_cells",14,"SKIPPED_less_than_30_cells_in_at_least_one_patient",NA,NA
"primary_mt25","Neutrophils",45,"OK",1316,0
"primary_mt25","Pericytes",35,"OK",4463,1
"primary_mt25","Plasma_cells",252,"OK",8254,0
"primary_mt25","T_cells",913,"OK",10663,0
"sensitivity_mt20","B_cells",306,"OK",9840,0
"sensitivity_mt20","Dendritic",12,"SKIPPED_less_than_30_cells_in_at_least_one_patient",NA,NA
"sensitivity_mt20","Endothelial",32,"OK",5574,3
"sensitivity_mt20","Epithelial",135,"OK",11425,0
"sensitivity_mt20","Fibroblasts",25,"SKIPPED_less_than_30_cells_in_at_least_one_patient",NA,NA
"sensitivity_mt20","Macrophages",91,"OK",8552,0
"sensitivity_mt20","Mast_cells",33,"OK",2878,1
"sensitivity_mt20","Monocytes",50,"OK",5321,0
"sensitivity_mt20","NK_cells",13,"SKIPPED_less_than_30_cells_in_at_least_one_patient",NA,NA
"sensitivity_mt20","Neutrophils",44,"OK",1296,0
"sensitivity_mt20","Pericytes",34,"OK",4465,1
"sensitivity_mt20","Plasma_cells",247,"OK",8228,0
"sensitivity_mt20","T_cells",898,"OK",10616,0
