"cell_type","direction","n_selected_ensembl","n_selected_entrez","n_background","n_GO_FDR05","status"
"B_cells","higher_right",0,0,9665,0,"SKIPPED_fewer_than_5_mapped_DE_genes"
"B_cells","higher_left",0,0,9665,0,"SKIPPED_fewer_than_5_mapped_DE_genes"
"Endothelial","higher_right",3,3,5790,0,"SKIPPED_fewer_than_5_mapped_DE_genes"
"Endothelial","higher_left",1,1,5790,0,"SKIPPED_fewer_than_5_mapped_DE_genes"
"Epithelial","higher_right",0,0,11783,0,"SKIPPED_fewer_than_5_mapped_DE_genes"
"Epithelial","higher_left",0,0,11783,0,"SKIPPED_fewer_than_5_mapped_DE_genes"
"Macrophages","higher_right",0,0,8601,0,"SKIPPED_fewer_than_5_mapped_DE_genes"
"Macrophages","higher_left",0,0,8601,0,"SKIPPED_fewer_than_5_mapped_DE_genes"
"Mast_cells","higher_right",1,1,2902,0,"SKIPPED_fewer_than_5_mapped_DE_genes"
"Mast_cells","higher_left",0,0,2902,0,"SKIPPED_fewer_than_5_mapped_DE_genes"
"Monocytes","higher_right",0,0,5356,0,"SKIPPED_fewer_than_5_mapped_DE_genes"
"Monocytes","higher_left",0,0,5356,0,"SKIPPED_fewer_than_5_mapped_DE_genes"
"Neutrophils","higher_right",0,0,1313,0,"SKIPPED_fewer_than_5_mapped_DE_genes"
"Neutrophils","higher_left",0,0,1313,0,"SKIPPED_fewer_than_5_mapped_DE_genes"
"Pericytes","higher_right",1,1,4464,0,"SKIPPED_fewer_than_5_mapped_DE_genes"
"Pericytes","higher_left",0,0,4464,0,"SKIPPED_fewer_than_5_mapped_DE_genes"
"Plasma_cells","higher_right",0,0,8140,0,"SKIPPED_fewer_than_5_mapped_DE_genes"
"Plasma_cells","higher_left",0,0,8140,0,"SKIPPED_fewer_than_5_mapped_DE_genes"
"T_cells","higher_right",0,0,10395,0,"SKIPPED_fewer_than_5_mapped_DE_genes"
"T_cells","higher_left",0,0,10395,0,"SKIPPED_fewer_than_5_mapped_DE_genes"
