"gene_id","gene_symbol","ENTREZID","cell_type","rank_stat"
"ENSG00000102221","JADE3","9767","B_cells",5.80572978590248
"ENSG00000197520","FAM177B","400823","B_cells",5.54117016247608
"ENSG00000131724","IL13RA1","3597","B_cells",5.0757993886918
"ENSG00000170385","SLC30A1","7779","B_cells",4.77662133992865
"ENSG00000146535","GNA12","2768","B_cells",4.51378517918069
"ENSG00000197728","RPS26","6231","B_cells",4.48200057726706
"ENSG00000109906","ZBTB16","7704","B_cells",4.46158007835699
"ENSG00000080546","SESN1","27244","B_cells",4.20343747180076
"ENSG00000168685","IL7R","3575","B_cells",3.67192287756453
"ENSG00000168679","SLC16A4","9122","B_cells",3.66617351205579
"ENSG00000096060","FKBP5","2289","B_cells",3.60182139764183
"ENSG00000163935","SFMBT1","51460","B_cells",3.5909696544809
"ENSG00000159189","C1QC","714","B_cells",3.51854728191249
"ENSG00000196781","TLE1","7088","B_cells",3.39764749110994
"ENSG00000130775","THEMIS2","9473","B_cells",3.36773115427698
"ENSG00000263961","C1orf186","440712","B_cells",3.34346781336525
"ENSG00000101187","SLCO4A1","28231","B_cells",3.3385912514282
"ENSG00000138378","STAT4","6775","B_cells",3.32880417086561
"ENSG00000110925","CSRNP2","81566","B_cells",3.27997388386843
"ENSG00000118432","CNR1","1268","B_cells",3.26565787530849
"ENSG00000198466","ZNF587","84914","B_cells",3.25093347033014
"ENSG00000161048","NAPEPLD","222236","B_cells",3.21745401968955
"ENSG00000265972","TXNIP","10628","B_cells",3.21359114017619
"ENSG00000164938","TP53INP1","94241","B_cells",3.20828761435816
"ENSG00000177426","TGIF1","7050","B_cells",3.19972641127548
"ENSG00000078687","TNRC6C","57690","B_cells",3.19582457234505
"ENSG00000135048","TMEM2","23670","B_cells",3.1863418658372
"ENSG00000122877","EGR2","1959","B_cells",3.1680625292138
"ENSG00000152413","HOMER1","9456","B_cells",3.16410926292332
"ENSG00000184867","ARMCX2","9823","B_cells",3.14187138949059
