"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","cell_type","FDR_global"
"GO:0000070","mitotic sister chromatid segregation",165,-0.590722407776904,-2.75254467849,1e-10,1.23206896551724e-08,9.71324863883848e-09,1146,"tags=39%, list=12%, signal=35%","29781/8243/10540/51529/440145/81930/64105/51451/51115/83540/54892/26073/29127/57405/11130/10051/57082/26271/23310/7273/55055/79643/147841/25906/49856/10592/701/983/9319/10459/4085/23397/51203/3832/24137/891/4751/9928/3835/7283/11065/699/3833/1063/9212/9918/113130/10403/5347/64151/10615/4605/9493/1062/9055/22974/9787/332/11004/90417/3619/81620/991/55143","B_cells",2.98245098039216e-08
"GO:1905818","regulation of chromosome separation",66,-0.669740614927254,-2.69098631627225,1e-10,1.23206896551724e-08,9.71324863883848e-09,1372,"tags=55%, list=14%, signal=47%","54908/7272/29781/51529/51451/83540/54892/57405/11130/10051/57082/26271/23310/55055/147841/25906/10592/701/9319/10459/4085/23397/891/11065/699/1063/9212/9918/10403/5347/64151/9787/332/3619/991/55143","B_cells",2.98245098039216e-08
"GO:0000819","sister chromatid segregation",200,-0.562591793672659,-2.68871198068054,1e-10,1.23206896551724e-08,9.71324863883848e-09,1409,"tags=40%, list=15%, signal=34%","4733/54908/79980/7272/60/116028/29781/8243/10540/51529/440145/81930/64105/8110/51451/51115/83540/54892/7153/26073/605/6598/29127/10460/9274/57405/11130/10783/10051/57082/26271/23310/7273/55055/79643/147841/25906/49856/10592/990/701/983/9319/10459/4085/23397/51203/3832/24137/891/4751/9928/3835/7283/11065/699/6597/3833/1063/9212/9918/113130/10403/5347/64151/10615/4605/9493/1062/9055/22974/9787/332/11004/90417/3619/81620/991/55143","B_cells",2.98245098039216e-08
"GO:0051983","regulation of chromosome segregation",114,-0.604004888317698,-2.66903905757266,1e-10,1.23206896551724e-08,9.71324863883848e-09,1277,"tags=45%, list=13%, signal=39%","7272/60/116028/56852/29781/51529/8110/51451/83540/54892/605/6598/10460/9274/57405/11130/10783/10051/57082/26271/23310/55055/147841/25906/10592/990/701/983/9319/10459/4085/23397/157313/891/11065/699/6597/1063/9212/9918/10403/5347/64151/1062/4288/9787/332/11004/3619/991/55143","B_cells",2.98245098039216e-08
"GO:0098813","nuclear chromosome segregation",248,-0.546846757119496,-2.66608256614624,1e-10,1.23206896551724e-08,9.71324863883848e-09,1277,"tags=36%, list=13%, signal=32%","7272/57820/60/116028/29781/8243/10540/51529/440145/81930/64105/2177/8110/51451/51115/55706/83540/4292/54892/7153/26073/605/6598/29127/10460/9274/57405/55166/11130/10783/10051/57082/26271/23310/7273/151648/55055/79643/147841/11243/25906/49856/10592/990/701/983/9319/10459/4085/23397/51203/9133/1894/3832/24137/84057/891/4751/9928/3835/7283/11065/699/6790/6597/3833/1063/9212/9918/113130/10403/5347/64151/10615/4605/9493/1062/9232/9055/22974/9787/332/259266/11004/90417/3619/81620/991/55143","B_cells",2.98245098039216e-08
"GO:0051304","chromosome separation",72,-0.649200487844086,-2.63627772236485,1e-10,1.23206896551724e-08,9.71324863883848e-09,1372,"tags=50%, list=14%, signal=43%","54908/7272/29781/51529/51451/83540/54892/57405/11130/10051/57082/26271/23310/55055/147841/25906/10592/701/9319/10459/4085/23397/891/11065/699/1063/9212/9918/10403/5347/64151/9787/332/3619/991/55143","B_cells",2.98245098039216e-08
"GO:0140014","mitotic nuclear division",216,-0.54225952711664,-2.61198348540476,1e-10,1.23206896551724e-08,9.71324863883848e-09,1567,"tags=40%, list=16%, signal=34%","27243/7329/8379/10300/8815/4733/54908/79980/7272/54461/54820/29781/8243/10540/11331/51529/440145/81930/64105/51451/51115/83540/54892/26073/3553/29127/57405/11130/5902/10051/57082/26271/23310/1111/7273/55055/79643/147841/5300/25906/49856/54443/10592/701/983/9319/9088/10459/4085/23397/51203/3832/24137/157313/891/4751/9928/3835/9585/7283/11065/699/6790/3833/1063/9212/9918/113130/10403/5347/64151/10615/4605/9493/1062/9055/4288/22974/9787/332/11004/90417/3619/81620/991/55143","B_cells",2.98245098039216e-08
"GO:0007059","chromosome segregation",347,-0.509461794693625,-2.59485676759696,1e-10,1.23206896551724e-08,9.71324863883848e-09,1567,"tags=37%, list=16%, signal=32%","27243/9391/7329/8379/10300/80152/23354/8841/4733/7150/54908/10844/79980/7272/57820/60/116028/56852/54820/29781/8243/10540/51529/440145/81930/64105/2177/8110/51451/51115/55706/83540/4292/54892/292/26112/7153/401541/26073/605/6598/29127/10460/672/9274/57405/55732/55166/11130/10783/10051/57082/26271/23310/115106/7273/151648/54069/55055/79643/151246/147841/220134/79023/11243/25906/49856/11339/55355/93323/10592/990/387103/701/983/9319/29901/10459/4085/23397/51203/203068/9133/1894/3832/24137/84057/348235/157313/891/4751/9928/3835/64946/201254/7283/11065/699/6790/6597/3833/1063/9212/9918/113130/10403/5347/64151/10615/4605/9493/1062/9232/9055/4288/22974/9787/332/259266/11004/157570/90417/3619/81620/991/55839/55143","B_cells",2.98245098039216e-08
"GO:0051783","regulation of nuclear division",86,-0.61388861425919,-2.58832365634476,1e-10,1.23206896551724e-08,9.71324863883848e-09,952,"tags=47%, list=10%, signal=42%","54908/7272/54461/51529/51451/83540/3553/57405/11130/57082/26271/1111/55055/147841/5300/25906/701/9319/9088/10459/4085/51203/157313/891/4751/9585/11065/699/6790/1063/9212/10635/10403/5347/4288/9787/332/3619/991/55143","B_cells",2.98245098039216e-08
"GO:0007088","regulation of mitotic nuclear division",80,-0.6226054514928,-2.57279333561979,1e-10,1.23206896551724e-08,9.71324863883848e-09,1372,"tags=49%, list=14%, signal=42%","54908/7272/54461/51529/51451/83540/3553/57405/11130/57082/26271/1111/55055/147841/5300/25906/701/9319/9088/10459/4085/51203/157313/891/4751/9585/11065/699/6790/1063/9212/10403/5347/4288/9787/332/3619/991/55143","B_cells",2.98245098039216e-08
