"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","gene_id","gene_symbol"
1.20465559417627e-80,2.58825453624748,0.951,0.384,4.05896655901753e-76,"3","ENSG00000008517","ENSG00000008517","IL32"
2.76472998128418e-79,2.0581076725155,0.917,0.257,9.31548119893893e-75,"3","ENSG00000167286","ENSG00000167286","CD3D"
5.22405185625326e-79,2.32775607784238,0.892,0.228,1.76019203244597e-74,"3","ENSG00000116824","ENSG00000116824","CD2"
5.84099188254209e-77,2.37134383487044,0.883,0.268,1.96806380490373e-72,"3","ENSG00000277734","ENSG00000277734","TRAC"
3.44829314500795e-71,0.933132430758876,0.999,0.979,1.16186789227898e-66,"3","ENSG00000166710","ENSG00000166710","B2M"
3.5603837906747e-69,1.98686275242639,0.945,0.503,1.19963571442993e-64,"3","ENSG00000196154","ENSG00000196154","S100A4"
2.08422376937612e-59,4.64022972346968,0.578,0.075,7.0225835685359e-55,"3","ENSG00000186827","ENSG00000186827","TNFRSF4"
1.09488178619949e-56,2.01578755369454,0.83,0.298,3.68909469042055e-52,"3","ENSG00000211772","ENSG00000211772","TRBC2"
2.8261719322758e-56,3.82412283718351,0.621,0.102,9.52250370861009e-52,"3","ENSG00000156127","ENSG00000156127","BATF"
6.25467752509427e-53,1.8072740956104,0.8,0.222,2.10745104530526e-48,"3","ENSG00000198851","ENSG00000198851","CD3E"
8.58017237361601e-52,2.25727988790973,0.732,0.19,2.89100327956618e-47,"3","ENSG00000107742","ENSG00000107742","SPOCK2"
6.11552043863747e-49,3.02304719811569,0.551,0.085,2.06056345659451e-44,"3","ENSG00000163600","ENSG00000163600","ICOS"
1.21117184850948e-48,3.71857639800123,0.5,0.049,4.08092242636784e-44,"3","ENSG00000163599","ENSG00000163599","CTLA4"
1.32707472259169e-46,1.77894661398377,0.781,0.32,4.47144557030043e-42,"3","ENSG00000227507","ENSG00000227507","LTB"
2.91335888849197e-45,3.80648128140414,0.574,0.1,9.81627143888485e-41,"3","ENSG00000186891","ENSG00000186891","TNFRSF18"
2.98079414421584e-45,1.984607952261,0.7,0.193,1.00434877895209e-40,"3","ENSG00000173762","ENSG00000173762","CD7"
3.8425405952989e-42,1.98700151982351,0.678,0.182,1.29470562818001e-37,"3","ENSG00000069667","ENSG00000069667","RORA"
1.25796045147222e-41,1.62974696667724,0.7,0.2,4.23857194519051e-37,"3","ENSG00000160654","ENSG00000160654","CD3G"
1.78963249664487e-41,1.42438221068728,0.737,0.28,6.02998773419521e-37,"3","ENSG00000168685","ENSG00000168685","IL7R"
4.55405478187206e-40,1.97180835621255,0.543,0.144,1.53444321820397e-35,"3","ENSG00000182866","ENSG00000182866","LCK"
1.49536140128527e-37,1.31660949132419,0.784,0.436,5.03847070549058e-33,"3","ENSG00000130755","ENSG00000130755","GMFG"
1.91298379214926e-37,0.975971858573126,0.981,0.877,6.44560758926773e-33,"3","ENSG00000206503","ENSG00000206503","HLA-A"
3.26697689436992e-37,1.43007505778255,0.751,0.44,1.100775194789e-32,"3","ENSG00000144746","ENSG00000144746","ARL6IP5"
5.89561046341119e-37,0.75162227000224,0.979,0.876,1.98646698954177e-32,"3","ENSG00000204525","ENSG00000204525","HLA-C"
9.92910407867448e-37,0.619169225138394,0.998,0.973,3.34551232826858e-32,"3","ENSG00000205542","ENSG00000205542","TMSB4X"
1.0476425239267e-36,1.82563161137171,0.533,0.131,3.52992672011863e-32,"3","ENSG00000198821","ENSG00000198821","CD247"
1.71601530014488e-36,1.12874787690352,0.786,0.495,5.78194195230816e-32,"3","ENSG00000130429","ENSG00000130429","ARPC1B"
8.89328893661156e-36,4.37742551397994,0.374,0.029,2.9965047743019e-31,"3","ENSG00000167618","ENSG00000167618","LAIR2"
4.59125571913844e-35,3.02314976119706,0.484,0.082,1.54697770200651e-30,"3","ENSG00000181847","ENSG00000181847","TIGIT"
3.59493002870791e-34,1.70371801388561,0.58,0.26,1.21127572387284e-29,"3","ENSG00000204397","ENSG00000204397","CARD16"
4.06333214432672e-33,1.12465102417595,0.893,0.58,1.36909913270944e-28,"3","ENSG00000111348","ENSG00000111348","ARHGDIB"
1.3840887315809e-32,5.41246849959238,0.323,0.009,4.6635485721887e-28,"3","ENSG00000049768","ENSG00000049768","FOXP3"
2.06272709391771e-32,1.32701934619696,0.739,0.325,6.95015267024634e-28,"3","ENSG00000134954","ENSG00000134954","ETS1"
1.07778288896064e-31,1.5916621872092,0.721,0.358,3.63148166606397e-27,"3","ENSG00000147168","ENSG00000147168","IL2RG"
5.01039872998055e-31,1.23038709589553,0.801,0.463,1.68820374807965e-26,"3","ENSG00000115165","ENSG00000115165","CYTIP"
1.82646682050277e-30,1.33315000745955,0.652,0.303,6.15409730500202e-26,"3","ENSG00000115977","ENSG00000115977","AAK1"
3.09848956144163e-30,0.780223630081241,0.985,0.812,1.04400507283214e-25,"3","ENSG00000133639","ENSG00000133639","BTG1"
5.2192924173028e-30,1.91620388845342,0.397,0.104,1.758588387086e-25,"3","ENSG00000213658","ENSG00000213658","LAT"
1.32467206515881e-28,0.991016086797604,0.864,0.615,4.4633500563461e-24,"3","ENSG00000133872","ENSG00000133872","SARAF"
1.34147534053396e-28,1.26531964381283,0.584,0.231,4.51996701239512e-24,"3","ENSG00000010810","ENSG00000010810","FYN"
2.45643049509526e-28,2.49663526008259,0.411,0.126,8.27669691017396e-24,"3","ENSG00000120875","ENSG00000120875","DUSP4"
5.48990763594336e-28,1.1035256959798,0.774,0.46,1.84976947885475e-23,"3","ENSG00000128340","ENSG00000128340","RAC2"
