"sample_id","metric","quantile","value"
"L1","nCount_RNA",0,500
"L1","nCount_RNA",0.01,518
"L1","nCount_RNA",0.05,633
"L1","nCount_RNA",0.25,1646.75
"L1","nCount_RNA",0.5,3311
"L1","nCount_RNA",0.75,6267.5
"L1","nCount_RNA",0.95,33107.25
"L1","nCount_RNA",0.99,61756.26
"L1","nCount_RNA",1,212432
"L1","nFeature_RNA",0,28
"L1","nFeature_RNA",0.01,52
"L1","nFeature_RNA",0.05,92
"L1","nFeature_RNA",0.25,415.75
"L1","nFeature_RNA",0.5,998
"L1","nFeature_RNA",0.75,1597.25
"L1","nFeature_RNA",0.95,3587.8
"L1","nFeature_RNA",0.99,6540.59999999999
"L1","nFeature_RNA",1,10298
"L1","percent.mt",0,0
"L1","percent.mt",0.01,0.295466198864095
"L1","percent.mt",0.05,0.799286148942297
"L1","percent.mt",0.25,3.35778185371238
"L1","percent.mt",0.5,6.36663934030959
"L1","percent.mt",0.75,20.1803594351733
"L1","percent.mt",0.95,96.4933138098174
"L1","percent.mt",0.99,98.2633324956019
"L1","percent.mt",1,99.4211623060894
"L2","nCount_RNA",0,500
"L2","nCount_RNA",0.01,533
"L2","nCount_RNA",0.05,720.1
"L2","nCount_RNA",0.25,2589.5
"L2","nCount_RNA",0.5,4503
"L2","nCount_RNA",0.75,10848.5
"L2","nCount_RNA",0.95,36137.3
"L2","nCount_RNA",0.99,75840.6200000001
"L2","nCount_RNA",1,218248
"L2","nFeature_RNA",0,52
"L2","nFeature_RNA",0.01,179.34
"L2","nFeature_RNA",0.05,283
"L2","nFeature_RNA",0.25,799
"L2","nFeature_RNA",0.5,1220
"L2","nFeature_RNA",0.75,2002
"L2","nFeature_RNA",0.95,5125
"L2","nFeature_RNA",0.99,7072.82
"L2","nFeature_RNA",1,10293
"L2","percent.mt",0,0.549717057396928
"L2","percent.mt",0.01,1.78777873123893
"L2","percent.mt",0.05,3.54351929841612
"L2","percent.mt",0.25,7.21439332579416
"L2","percent.mt",0.5,13.1509860186825
"L2","percent.mt",0.75,40.7674874847788
"L2","percent.mt",0.95,71.696836561761
"L2","percent.mt",0.99,85.5405914571511
"L2","percent.mt",1,98.9881956155143
"L3","nCount_RNA",0,501
"L3","nCount_RNA",0.01,561
"L3","nCount_RNA",0.05,814.15
