"sample_id","min_features","max_mt","n_before","n_after","retained_pct"
"L1",200,10,5352,3381,63.1726457399103
"L1",300,10,5352,3210,59.9775784753363
"L1",500,10,5352,2836,52.9895366218236
"L1",200,15,5352,3728,69.6562032884903
"L1",300,15,5352,3546,66.2556053811659
"L1",500,15,5352,3109,58.0904334828102
"L1",200,20,5352,3943,73.6733931240658
"L1",300,20,5352,3754,70.1420029895366
"L1",500,20,5352,3275,61.1920777279522
"L1",200,25,5352,4078,76.1958146487294
"L1",300,25,5352,3880,72.4962630792227
"L1",500,25,5352,3372,63.0044843049327
"L1",200,30,5352,4177,78.0455904334828
"L1",300,30,5352,3968,74.1405082212257
"L1",500,30,5352,3435,64.1816143497758
"L2",200,10,5063,2023,39.9565475014813
"L2",300,10,5063,1974,38.9887418526565
"L2",500,10,5063,1823,36.0063203634209
"L2",200,15,5063,2644,52.222002765159
"L2",300,15,5063,2567,50.7011653170057
"L2",500,15,5063,2360,46.6126802291132
"L2",200,20,5063,2947,58.2065968793206
"L2",300,20,5063,2848,56.2512344459806
"L2",500,20,5063,2602,51.3924550661663
"L2",200,25,5063,3165,62.5123444598064
"L2",300,25,5063,3050,60.2409638554217
"L2",500,25,5063,2779,54.8884060833498
"L2",200,30,5063,3365,66.4625715978669
"L2",300,30,5063,3231,63.8159194153664
"L2",500,30,5063,2927,57.8115741655145
"L3",200,10,6944,5188,74.7119815668203
"L3",300,10,6944,5134,73.934331797235
"L3",500,10,6944,4810,69.2684331797235
"L3",200,15,6944,5626,81.0195852534562
"L3",300,15,6944,5570,80.213133640553
"L3",500,15,6944,5183,74.6399769585253
"L3",200,20,6944,5833,84.0005760368664
"L3",300,20,6944,5773,83.1365207373272
"L3",500,20,6944,5353,77.088133640553
"L3",200,25,6944,5986,86.2039170506912
"L3",300,25,6944,5922,85.2822580645161
"L3",500,25,6944,5476,78.8594470046083
"L3",200,30,6944,6087,87.6584101382488
"L3",300,30,6944,6020,86.6935483870968
"L3",500,30,6944,5547,79.8819124423963
"R1",200,10,6589,5378,81.6208832903324
"R1",300,10,6589,5267,79.9362573986948
"R1",500,10,6589,4696,71.2702989831538
"R1",200,15,6589,5673,86.0980421915313
"R1",300,15,6589,5558,84.3527090605555
"R1",500,15,6589,4953,75.1707391106389
"R1",200,20,6589,5789,87.8585521323418
"R1",300,20,6589,5667,86.0069813325239
"R1",500,20,6589,5036,76.4304143269085
"R1",200,25,6589,5862,88.9664592502656
"R1",300,25,6589,5739,87.0997116406131
"R1",500,25,6589,5092,77.2803156776446
"R1",200,30,6589,5910,89.6949461223251
"R1",300,30,6589,5784,87.7826680831689
"R1",500,30,6589,5126,77.79632721202
"R2",200,10,4740,3298,69.57805907173
"R2",300,10,4740,3263,68.8396624472574
"R2",500,10,4740,3060,64.5569620253165
"R2",200,15,4740,3736,78.8185654008439
"R2",300,15,4740,3699,78.0379746835443
"R2",500,15,4740,3473,73.2700421940928
"R2",200,20,4740,3893,82.1308016877637
"R2",300,20,4740,3856,81.3502109704641
"R2",500,20,4740,3605,76.0548523206751
"R2",200,25,4740,4022,84.8523206751055
"R2",300,25,4740,3981,83.9873417721519
"R2",500,25,4740,3706,78.1856540084388
"R2",200,30,4740,4125,87.0253164556962
"R2",300,30,4740,4079,86.0548523206751
"R2",500,30,4740,3779,79.7257383966245
"R3",200,10,7005,3059,43.6688079942898
"R3",300,10,7005,3016,43.0549607423269
"R3",500,10,7005,2725,38.9007851534618
"R3",200,15,7005,3793,54.1470378301213
"R3",300,15,7005,3748,53.5046395431834
"R3",500,15,7005,3366,48.051391862955
"R3",200,20,7005,4090,58.3868665239115
"R3",300,20,7005,4042,57.7016416845111
"R3",500,20,7005,3596,51.3347608850821
"R3",200,25,7005,4334,61.8700927908637
"R3",300,25,7005,4282,61.1277658815132
"R3",500,25,7005,3781,53.9757316202712
"R3",200,30,7005,4541,64.825124910778
"R3",300,30,7005,4486,64.039971448965
"R3",500,30,7005,3948,56.3597430406852
