"sample_id","side","logCPM","gene_symbol","cell_type","panel"
"L1","left-sided",7.30306694525688,"TXNIP","Endothelial","Endothelial | TXNIP"
"L2","left-sided",7.02275206455103,"TXNIP","Endothelial","Endothelial | TXNIP"
"L3","left-sided",6.60959458727652,"TXNIP","Endothelial","Endothelial | TXNIP"
"R1","right-sided",8.75224918081924,"TXNIP","Endothelial","Endothelial | TXNIP"
"R2","right-sided",9.47578972573092,"TXNIP","Endothelial","Endothelial | TXNIP"
"R3","right-sided",10.3886245640294,"TXNIP","Endothelial","Endothelial | TXNIP"
"L1","left-sided",4.08773594426152,"NOV","Endothelial","Endothelial | NOV"
"L2","left-sided",4.40050401205772,"NOV","Endothelial","Endothelial | NOV"
"L3","left-sided",4.31761044960587,"NOV","Endothelial","Endothelial | NOV"
"R1","right-sided",6.15264803954582,"NOV","Endothelial","Endothelial | NOV"
"R2","right-sided",6.38316187191436,"NOV","Endothelial","Endothelial | NOV"
"R3","right-sided",6.78611513352121,"NOV","Endothelial","Endothelial | NOV"
"L1","left-sided",8.52864861778784,"FAM118A","Endothelial","Endothelial | FAM118A"
"L2","left-sided",7.50792818849584,"FAM118A","Endothelial","Endothelial | FAM118A"
"L3","left-sided",6.8045539417858,"FAM118A","Endothelial","Endothelial | FAM118A"
"R1","right-sided",3.82311348840243,"FAM118A","Endothelial","Endothelial | FAM118A"
"R2","right-sided",4.77610153011862,"FAM118A","Endothelial","Endothelial | FAM118A"
"R3","right-sided",4.75273382310945,"FAM118A","Endothelial","Endothelial | FAM118A"
"L1","left-sided",6.98977363431095,"TSC22D3","Endothelial","Endothelial | TSC22D3"
"L2","left-sided",6.78439770137381,"TSC22D3","Endothelial","Endothelial | TSC22D3"
"L3","left-sided",6.63911146675144,"TSC22D3","Endothelial","Endothelial | TSC22D3"
"R1","right-sided",8.17361635496097,"TSC22D3","Endothelial","Endothelial | TSC22D3"
"R2","right-sided",8.43507019187932,"TSC22D3","Endothelial","Endothelial | TSC22D3"
"R3","right-sided",8.84609945202159,"TSC22D3","Endothelial","Endothelial | TSC22D3"
"L1","left-sided",7.34712473153358,"TSC22D3","Mast_cells","Mast_cells | TSC22D3"
"L2","left-sided",7.26572347399798,"TSC22D3","Mast_cells","Mast_cells | TSC22D3"
"L3","left-sided",8.08099596433407,"TSC22D3","Mast_cells","Mast_cells | TSC22D3"
"R1","right-sided",10.2408270669358,"TSC22D3","Mast_cells","Mast_cells | TSC22D3"
"R2","right-sided",10.3041298682796,"TSC22D3","Mast_cells","Mast_cells | TSC22D3"
"R3","right-sided",11.1577035912157,"TSC22D3","Mast_cells","Mast_cells | TSC22D3"
"L1","left-sided",3.82970946320444,"FKBP5","Pericytes","Pericytes | FKBP5"
"L2","left-sided",4.59948082526149,"FKBP5","Pericytes","Pericytes | FKBP5"
"L3","left-sided",4.64607185126029,"FKBP5","Pericytes","Pericytes | FKBP5"
"R1","right-sided",7.0106721057221,"FKBP5","Pericytes","Pericytes | FKBP5"
"R2","right-sided",7.35431558480993,"FKBP5","Pericytes","Pericytes | FKBP5"
"R3","right-sided",6.58838312681811,"FKBP5","Pericytes","Pericytes | FKBP5"
