"gene_id","seurat_feature","gene_symbol"
"ENSG00000198888","ENSG00000198888","MT-ND1"
"ENSG00000198763","ENSG00000198763","MT-ND2"
"ENSG00000198804","ENSG00000198804","MT-CO1"
"ENSG00000198712","ENSG00000198712","MT-CO2"
"ENSG00000228253","ENSG00000228253","MT-ATP8"
"ENSG00000198899","ENSG00000198899","MT-ATP6"
"ENSG00000198938","ENSG00000198938","MT-CO3"
"ENSG00000198840","ENSG00000198840","MT-ND3"
"ENSG00000212907","ENSG00000212907","MT-ND4L"
"ENSG00000198886","ENSG00000198886","MT-ND4"
"ENSG00000198786","ENSG00000198786","MT-ND5"
"ENSG00000198695","ENSG00000198695","MT-ND6"
"ENSG00000198727","ENSG00000198727","MT-CYB"
